date,platform,event_id,entry_id,hits,pushes,mult,stake,pnl,bankroll,pair_success,pair_fail,pair_push
2025-01-05,prizepicks,f5fee2b969c5801e0050c4bec55b8f77,1,3,0,0.0,100.0,-100.0,9900.0,2,1,0
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,2,4,0,0.4,100.0,-60.0,9840.0,3,0,0
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,3,3,0,0.0,100.0,-100.0,9740.0,2,1,0
2025-01-12,prizepicks,58b46c9397011f730367d56e32ac7dfd,4,3,0,0.0,100.0,-100.0,9640.0,2,1,0
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,5,2,1,0.0,100.0,-100.0,9540.0,2,0,1
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,6,3,0,0.0,100.0,-100.0,9440.0,2,1,0
2025-01-19,prizepicks,2edec9d8d51e6aaa54be3201dbe3ffbe,7,3,0,0.0,100.0,-100.0,9340.0,2,1,0
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,8,0,0,0.0,100.0,-100.0,9240.0,3,0,0
2025-01-20,prizepicks,173d7d5f2bf8881f4bc4a2179fdf895f,9,1,0,0.0,100.0,-100.0,9140.0,2,1,0
2025-01-20,prizepicks,648497f8f49bde0d229d66eb1e3c27d3,10,4,0,0.4,100.0,-60.0,9080.0,1,2,0
2025-01-23,prizepicks,59065cde52a9e2b367362915f8e2298a,11,4,0,0.4,100.0,-60.0,9020.0,1,2,0
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,12,2,0,0.0,100.0,-100.0,8920.0,3,0,0
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,13,3,0,0.0,100.0,-100.0,8820.0,2,1,0
2025-01-25,prizepicks,178af5284f2a47d4e8b7771bebab5da9,14,4,0,0.4,100.0,-60.0,8760.0,1,2,0
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,15,4,0,0.4,100.0,-60.0,8700.0,1,2,0
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,16,3,0,0.0,100.0,-100.0,8600.0,2,1,0
2025-01-26,prizepicks,cf4360ae388e3a68fb1c2aea7c890815,17,5,0,2.0,100.0,100.0,8700.0,2,1,0
