GAME_DATE,MATCHUP,PTS,AST,REB,MIN
2023-10-24,LAL @ DEN,21,5,8,29
2023-10-26,LAL vs. PHX,21,9,8,35
2023-10-29,LAL @ SAC,27,8,15,39
2023-10-30,LAL vs. ORL,19,4,3,33
2023-11-01,LAL vs. LAC,35,7,12,42
2023-11-04,LAL @ ORL,24,5,9,35
2023-11-06,LAL @ MIA,30,3,4,37
2023-11-08,LAL @ HOU,18,2,6,27
2023-11-10,LAL @ PHX,32,6,11,36
2023-11-14,LAL vs. MEM,16,6,9,23
2023-11-15,LAL vs. SAC,28,12,10,35
2023-11-17,LAL @ POR,35,9,5,35
2023-11-19,LAL vs. HOU,37,8,6,40
2023-11-21,LAL vs. UTA,17,9,7,24
2023-11-22,LAL vs. DAL,26,7,9,36
2023-11-25,LAL @ CLE,22,6,6,36
2023-11-27,LAL @ PHI,18,5,0,30
2023-11-29,LAL @ DET,25,3,8,29
2023-11-30,LAL @ OKC,21,6,12,35
2023-12-02,LAL vs. HOU,16,7,4,35
2023-12-05,LAL vs. PHX,31,11,8,40
2023-12-07,LAL vs. NOP,30,8,5,23
2023-12-12,LAL @ DAL,33,9,8,40
2023-12-15,LAL @ SAS,23,14,7,36
2023-12-18,LAL vs. NYK,25,11,11,39
2023-12-20,LAL @ CHI,25,9,10,37
2023-12-23,LAL @ OKC,40,7,7,37
2023-12-25,LAL vs. BOS,16,8,9,37
2023-12-28,LAL vs. CHA,17,11,4,25
2023-12-30,LAL @ MIN,26,6,3,39
2023-12-31,LAL @ NOP,34,8,5,37
2024-01-03,LAL vs. MIA,12,9,6,38
2024-01-05,LAL vs. MEM,32,7,5,39
2024-01-07,LAL vs. LAC,25,7,8,38
2024-01-09,LAL vs. TOR,22,12,5,35
2024-01-11,LAL vs. PHX,10,9,5,24
2024-01-15,LAL vs. OKC,25,6,7,39
2024-01-17,LAL vs. DAL,25,8,8,33
2024-01-19,LAL vs. BKN,24,5,11,34
2024-01-21,LAL vs. POR,28,5,5,31
2024-01-25,LAL vs. CHI,25,12,4,36
2024-01-27,LAL @ GSW,36,12,20,48
2024-01-29,LAL @ HOU,23,10,6,37
2024-01-30,LAL @ ATL,20,8,9,36
2024-02-03,LAL @ NYK,24,5,5,40
2024-02-05,LAL @ CHA,26,7,4,40
2024-02-08,LAL vs. DEN,25,7,9,35
2024-02-09,LAL vs. NOP,21,14,4,38
2024-02-13,LAL vs. DET,25,8,1,31
2024-02-23,LAL vs. SAS,30,9,7,34
2024-02-25,LAL @ PHX,28,12,7,37
2024-02-28,LAL @ LAC,34,8,6,37
2024-02-29,LAL vs. WAS,31,9,4,39
2024-03-02,LAL vs. DEN,26,9,4,37
2024-03-04,LAL vs. OKC,19,8,11,31
2024-03-06,LAL vs. SAC,31,13,5,36
2024-03-10,LAL vs. MIN,29,9,8,38
2024-03-13,LAL @ SAC,18,9,13,40
2024-03-16,LAL vs. GSW,40,9,8,38
2024-03-18,LAL vs. ATL,25,10,7,29
2024-03-22,LAL vs. PHI,20,6,8,38
2024-03-24,LAL vs. IND,26,10,5,38
2024-03-27,LAL @ MEM,23,12,14,35
2024-03-29,LAL @ IND,16,8,10,35
2024-03-31,LAL @ BKN,40,5,7,37
2024-04-02,LAL @ TOR,23,9,4,29
2024-04-03,LAL @ WAS,25,9,7,36
2024-04-06,LAL vs. CLE,24,12,5,36
2024-04-09,LAL vs. GSW,33,11,7,36
2024-04-12,LAL @ MEM,37,5,9,41
2024-04-14,LAL @ NOP,28,17,11,38
